timestamp_ms,accX_g,accY_g,accZ_g,gyrX,gyrY,gyrZ,step_count,cadence_spm,peak_impact_g
1784073126620,-0.2659695,1.7539347,-0.26962963,-23.87,4.48,19.32,7,42.0,7.533754
1784073126620,-0.23986056,1.6360785,-0.23546842,-31.22,8.89,9.59,7,42.0,7.533754
1784073126620,-0.23180829,1.5438432,-0.17885838,-39.76,8.26,1.26,7,42.0,7.533754
1784073126620,-0.19764706,1.4496558,-0.18276253,-43.19,4.41,-2.66,7,42.0,7.533754
1784073126620,-0.23790848,1.3605926,-0.1878867,-43.05,7.56,-2.66,7,42.0,7.533754
1784073126664,-0.13420479,1.2180915,-0.17812636,-41.58,5.32,-3.85,7,42.0,7.533754
1784073126664,-0.15884967,1.1497691,-0.1905708,-36.75,-0.35,-7.07,8,48.0,7.533754
1784073126664,-0.056122,1.0565577,-0.1822745,-30.73,0.0,-10.71,8,48.0,7.533754
1784073126664,-0.11736819,1.0175164,-0.23376034,-19.460001,6.51,-15.26,8,48.0,7.533754
1784073126664,-0.070518516,0.93016124,-0.37162527,-10.36,7.56,-20.72,8,48.0,7.533754
1784073126664,-0.05929412,0.8235294,-0.49753374,-8.19,10.01,-25.27,8,48.0,7.533754
1784073126664,0.049045753,0.6510152,-0.5216906,-17.710001,5.95,-28.56,8,48.0,7.533754
1784073126664,0.16446187,0.42799127,-0.4228671,-24.08,4.97,-31.01,8,48.0,7.533754
1784073126754,0.08637909,0.46898472,-0.43701962,-24.22,4.97,-32.83,8,48.0,7.533754
1784073126754,0.13176471,0.3950501,-0.23864052,-26.32,1.19,-32.62,8,48.0,7.533754
1784073126754,0.1481133,0.39139,-0.0951634,-32.83,0.42000002,-28.07,8,48.0,7.533754
1784073126754,0.07125054,0.33526796,0.07808279,-28.77,6.65,-23.66,8,48.0,7.533754
1784073126754,-0.060270153,0.52535075,0.11614815,19.39,27.72,-15.54,8,48.0,7.533754
1784073126754,-0.0924793,0.20887147,0.33453596,24.22,41.72,-4.69,8,48.0,7.533754
1784073126754,-0.08857516,0.18129848,0.24474074,43.82,50.33,6.58,8,48.0,7.533754
1784073126754,4.8801742E-4,0.04026144,0.11151198,51.03,49.91,15.75,8,48.0,7.533754
1784073126890,0.04001743,0.04587364,-0.07954685,40.6,42.35,23.59,8,48.0,7.533754
1784073126890,0.27036166,-0.18251853,-0.06344226,18.83,28.77,31.85,8,48.0,7.533754
1784073126890,0.32575163,-0.26230937,0.03562527,3.22,14.56,37.59,8,48.0,7.533754
1784073126890,0.2437647,-0.28744227,0.5685403,-8.47,15.61,37.170002,8,48.0,7.533754
1784073126890,0.10321569,-0.30501089,1.3276514,16.38,40.25,30.24,8,48.0,7.533754
1784073126890,-0.033185184,-0.22058389,1.5626318,95.41,78.05,15.75,8,48.0,7.533754
1784073126890,-0.56439215,-0.21204355,1.3388758,160.44,136.5,6.23,8,48.0,7.533754
1784073126890,1.0719303,-0.08271895,-0.1454292,135.38,131.74,3.85,9,54.0,7.533754
1784073126935,1.7600348,-0.028793028,-0.30574292,39.62,116.9,-9.52,9,54.0,7.533754
1784073126935,1.2373681,0.91796076,-0.01708061,5.67,71.68,-52.15,9,54.0,7.533754
1784073126935,0.6600436,2.0338125,-0.044409584,0.98,33.25,-149.24,9,54.0,7.533754
1784073126935,-0.09711547,2.326379,-0.63417864,138.25,18.2,-239.75,9,54.0,7.533754
1784073126935,-0.80254465,5.070013,0.04587364,145.39,-52.57,-219.38,9,54.0,7.533754
1784073126935,-3.3094902,3.2680087,-0.82206535,169.89,-0.84000003,-110.53,9,54.0,7.533754
1784073126935,-1.9647582,1.6065533,-0.9875033,-86.1,14.56,-13.58,9,54.0,7.533754
1784073126935,-0.895756,0.99262744,1.0829107,-169.47,18.83,24.64,9,54.0,7.533754
1784073127160,-0.3750414,1.5562875,-0.0029281045,1.89,37.38,24.29,9,54.0,7.533754
